timestamp,source_ip,destination_ip,source_host,destination_host,action,bytes_transferred
2026-09-01 08:12:55,192.168.1.10,192.168.1.100,workstation-john,mail-server,CONNECT,0
2026-09-01 08:15:30,192.168.1.20,192.168.1.100,workstation-sarah,mail-server,CONNECT,0
2026-09-01 09:01:02,192.168.1.10,192.168.1.100,workstation-john,mail-server,RECEIVE,15360
2026-09-01 14:22:44,192.168.1.20,192.168.1.100,workstation-sarah,mail-server,RECEIVE,28400
2026-09-01 14:46:11,192.168.1.10,192.168.1.200,workstation-john,report-server,CONNECT,0
2026-09-01 14:46:55,192.168.1.10,192.168.1.200,workstation-john,report-server,RECEIVE,512000
2026-09-01 22:01:55,192.168.1.50,192.168.1.50,192.168.1.50,server01,CONNECT,0
2026-09-01 22:02:30,192.168.1.50,192.168.1.50,192.168.1.50,server01,RECEIVE,2048
2026-09-01 22:03:20,192.168.1.50,192.168.1.50,192.168.1.50,server01,SEND,8192
2026-09-01 22:03:50,192.168.1.50,192.168.1.50,192.168.1.50,server01,RECEIVE,1048576
2026-09-01 22:04:15,192.168.1.50,192.168.1.50,192.168.1.50,server01,RECEIVE,2097152
2026-09-01 22:05:10,192.168.1.50,192.168.1.50,192.168.1.50,server01,RECEIVE,52428800
2026-09-01 22:06:20,192.168.1.50,192.168.1.50,192.168.1.50,server01,RECEIVE,15728640
2026-09-01 22:07:30,192.168.1.50,192.168.1.50,192.168.1.50,server01,RECEIVE,8388608
2026-09-01 22:10:45,192.168.1.10,192.168.1.100,workstation-john,mail-server,RECEIVE,12288
2026-09-01 22:46:02,192.168.1.20,192.168.1.100,workstation-sarah,mail-server,RECEIVE,9800
2026-09-01 23:15:00,192.168.1.10,192.168.1.100,workstation-john,mail-server,CONNECT,0
2026-09-01 23:30:11,192.168.1.20,192.168.1.100,workstation-sarah,mail-server,CONNECT,0
